i value
0.000 0.870
0.250 0.870
0.517 0.870
0.767 0.870
1.033 0.870
1.283 0.870
1.550 0.870
1.800 0.870
2.067 0.870
2.317 0.870
2.583 0.870
2.750 0.870
3.000 0.870
3.267 0.870
3.433 0.870
3.683 0.870
3.950 0.870
4.117 0.870
4.367 0.870
4.633 0.870
4.800 0.870
5.050 0.870
5.317 0.870
5.483 0.870
5.733 0.870
6.000 0.870
6.167 0.870
6.417 0.870
6.683 0.870
6.850 0.870
7.100 0.870
7.367 0.870
7.533 0.870
7.783 0.870
8.050 0.870
8.217 0.870
8.483 0.870
8.733 0.870
8.900 0.870
9.167 0.870
9.417 0.870
9.583 0.870
9.667 0.870
9.933 0.870
10.683 0.870
10.867 0.870
10.950 0.870
11.117 0.870
11.200 0.870
11.383 0.870
11.467 0.870
11.633 0.870
11.717 0.870
11.800 0.870
11.883 0.870
11.967 0.870
12.067 0.870
12.150 0.870
12.233 0.870
12.317 0.870
12.400 0.870
12.483 0.870
12.650 0.870
12.750 0.870
12.917 0.870
13.000 0.870
13.167 0.870
13.250 0.870
13.433 0.870
13.517 0.870
13.683 0.870
13.767 0.870
13.950 0.870
14.033 0.870
14.200 0.870
14.283 0.870
14.450 0.870
15.233 0.870
15.317 0.870
15.483 0.870
15.583 0.870
15.750 0.870
15.833 0.870
16.000 0.870
16.100 0.870
16.267 0.870
16.350 0.870
16.517 0.870
16.600 0.870
16.783 0.870
16.867 0.870
17.033 0.870
17.117 0.870
17.300 0.870
17.383 0.870
17.550 0.870
17.633 0.870
17.800 0.870
17.900 0.870
18.067 0.870
18.150 0.870
18.317 0.870
18.417 0.870
18.583 0.870
18.667 0.870
18.833 0.870
18.917 0.870
19.100 0.870
19.183 0.870
19.350 0.870
19.433 0.870
19.617 0.870
