i value
0.000 0.864
0.250 0.844
0.517 0.852
0.767 0.820
1.033 0.868
1.283 0.902
1.550 0.900
1.800 0.869
2.067 0.902
2.317 0.846
2.583 0.952
2.750 0.943
3.000 0.947
3.267 0.946
3.433 0.948
3.683 0.935
3.950 0.959
4.117 0.978
4.367 0.965
4.633 0.964
4.800 0.976
5.050 0.973
5.317 0.968
5.483 0.955
5.733 0.969
6.000 0.980
6.167 0.954
6.417 0.966
6.683 0.968
6.850 0.975
7.100 0.970
7.367 0.979
7.533 0.962
7.783 0.949
8.050 0.948
8.217 0.960
8.483 0.975
8.733 0.979
8.900 0.968
9.167 0.957
9.417 0.976
9.583 0.973
9.667 0.970
9.933 0.943
10.683 0.676
10.867 0.710
10.950 0.983
11.117 0.957
11.200 0.963
11.383 0.978
11.467 0.973
11.633 0.977
11.717 0.976
11.800 0.975
11.883 0.977
11.967 0.974
12.067 0.969
12.150 0.978
12.233 0.982
12.317 0.989
12.400 0.980
12.483 0.971
12.650 0.977
12.750 0.978
12.917 0.966
13.000 0.964
13.167 0.975
13.250 0.974
13.433 0.966
13.517 0.948
13.683 0.944
13.767 0.960
13.950 0.892
14.033 0.914
14.200 0.954
14.283 0.931
14.450 0.932
15.233 0.954
15.317 0.937
15.483 0.929
15.583 0.970
15.750 0.971
15.833 0.973
16.000 0.973
16.100 0.974
16.267 0.968
16.350 0.969
16.517 0.979
16.600 0.965
16.783 0.966
16.867 0.975
17.033 0.967
17.117 0.969
17.300 0.971
17.383 0.965
17.550 0.964
17.633 0.976
17.800 0.977
17.900 0.966
18.067 0.971
18.150 0.979
18.317 0.969
18.417 0.966
18.583 0.974
18.667 0.975
18.833 0.977
18.917 0.967
19.100 0.965
19.183 0.974
19.350 0.972
19.433 0.970
19.617 0.973
