i value
2.067 1411.960
2.317 1411.960
2.583 1411.960
2.750 1411.960
3.000 1411.960
3.267 1411.960
3.433 1411.960
3.683 1476.553
3.950 1476.553
4.117 1476.553
4.367 1476.553
4.633 1476.553
4.800 649.932
5.050 649.603
5.317 641.642
5.483 632.736
5.733 628.944
6.000 631.406
6.167 626.794
6.417 632.750
6.683 631.953
6.850 634.155
7.100 627.123
7.367 622.120
7.533 617.322
7.783 629.578
8.050 621.593
8.217 620.037
8.483 617.204
8.733 617.054
8.900 607.473
9.167 617.627
9.417 617.630
9.583 614.387
9.667 608.541
9.933 608.541
10.683 608.541
10.867 608.541
10.950 608.541
11.117 608.541
11.200 1008.377
11.383 1031.141
11.467 1032.249
11.633 857.805
11.717 653.635
11.800 665.947
11.883 667.163
11.967 668.072
12.067 671.087
12.150 674.583
12.233 693.739
12.317 728.194
12.400 764.004
12.483 760.950
12.650 756.962
12.750 742.676
12.917 710.705
13.000 670.272
13.167 651.077
13.250 625.941
13.433 619.407
13.517 997.032
13.683 1391.708
13.767 1874.163
13.950 1874.163
14.033 1874.163
14.200 1874.163
14.283 1874.163
14.450 2803.014
15.233 2803.014
15.317 2803.014
15.483 2803.014
15.583 2803.014
15.750 1604.590
15.833 1604.590
16.000 1604.590
16.100 1604.590
16.267 1604.590
16.350 555.958
16.517 551.569
16.600 551.349
16.783 509.732
16.867 506.850
17.033 510.740
17.117 510.215
17.300 536.293
17.383 552.124
17.550 541.619
17.633 536.478
17.800 531.225
17.900 508.198
18.067 495.723
18.150 498.851
18.317 498.482
18.417 509.596
18.583 515.184
18.667 529.012
18.833 544.459
18.917 550.755
19.100 547.202
19.183 553.111
19.350 561.757
19.433 557.781
19.617 550.660
