i value
0.000 800.000
0.250 800.000
0.517 800.000
0.767 800.000
1.033 800.000
1.283 800.000
1.550 800.000
1.800 800.000
2.067 800.000
2.317 800.000
2.583 800.000
2.750 800.000
3.000 800.000
3.267 800.000
3.433 800.000
3.683 800.000
3.950 800.000
4.117 800.000
4.367 800.000
4.633 800.000
4.800 800.000
5.050 800.000
5.317 800.000
5.483 800.000
5.733 800.000
6.000 800.000
6.167 800.000
6.417 800.000
6.683 800.000
6.850 800.000
7.100 800.000
7.367 800.000
7.533 800.000
7.783 800.000
8.050 800.000
8.217 800.000
8.483 800.000
8.733 800.000
8.900 800.000
9.167 800.000
9.417 800.000
9.583 800.000
9.667 800.000
9.933 800.000
10.683 800.000
10.867 800.000
10.950 800.000
11.117 800.000
11.200 800.000
11.383 800.000
11.467 800.000
11.633 800.000
11.717 800.000
11.800 800.000
11.883 800.000
11.967 800.000
12.067 800.000
12.150 800.000
12.233 800.000
12.317 800.000
12.400 800.000
12.483 800.000
12.650 800.000
12.750 800.000
12.917 800.000
13.000 800.000
13.167 800.000
13.250 800.000
13.433 800.000
13.517 800.000
13.683 800.000
13.767 800.000
13.950 800.000
14.033 800.000
14.200 800.000
14.283 800.000
14.450 800.000
15.233 800.000
15.317 800.000
15.483 800.000
15.583 800.000
15.750 800.000
15.833 800.000
16.000 800.000
16.100 800.000
16.267 800.000
16.350 800.000
16.517 800.000
16.600 800.000
16.783 800.000
16.867 800.000
17.033 800.000
17.117 800.000
17.300 800.000
17.383 800.000
17.550 800.000
17.633 800.000
17.800 800.000
17.900 800.000
18.067 800.000
18.150 800.000
18.317 800.000
18.417 800.000
18.583 800.000
18.667 800.000
18.833 800.000
18.917 800.000
19.100 800.000
19.183 800.000
19.350 800.000
19.433 800.000
19.617 800.000
