i value
1.033 0.992
1.283 0.997
1.550 0.995
1.800 0.989
2.067 0.984
2.317 0.979
2.583 0.975
2.833 0.972
3.100 0.979
3.350 0.979
3.517 0.981
3.783 0.978
4.033 0.984
4.200 0.983
4.467 0.984
4.717 0.981
4.883 0.987
5.150 0.986
5.400 0.987
5.567 0.989
5.833 0.993
6.083 0.992
6.250 0.991
6.517 0.987
6.767 0.986
6.933 0.987
7.200 0.988
7.450 0.987
7.617 0.988
7.883 0.990
8.133 0.991
8.300 0.991
8.567 0.993
8.817 0.996
8.983 0.996
9.250 0.994
9.500 0.993
9.750 0.992
10.950 0.989
11.200 0.986
11.467 0.988
11.717 0.990
11.983 0.992
12.233 0.996
12.483 1.000
12.750 0.997
13.000 0.994
13.267 0.991
13.517 0.986
13.767 0.986
14.033 0.989
14.283 0.992
14.550 0.990
14.800 0.979
15.067 0.979
15.317 0.979
15.583 0.976
15.833 0.981
16.100 0.995
16.350 0.992
16.617 0.989
16.867 0.991
17.117 0.987
17.383 0.986
17.633 0.990
17.900 0.989
18.150 0.987
18.417 0.990
18.667 0.992
18.933 0.991
19.183 0.993
19.450 0.992
