i value
0.000 0.920
0.250 0.920
0.517 0.920
0.767 0.920
1.033 0.920
1.283 0.920
1.550 0.920
1.800 0.920
2.067 0.920
2.317 0.920
2.583 0.920
2.833 0.920
3.100 0.920
3.350 0.920
3.517 0.920
3.783 0.920
4.033 0.920
4.200 0.920
4.467 0.920
4.717 0.920
4.883 0.920
5.150 0.920
5.400 0.920
5.567 0.920
5.833 0.920
6.083 0.920
6.250 0.920
6.517 0.920
6.767 0.920
6.933 0.920
7.200 0.920
7.450 0.920
7.617 0.920
7.883 0.920
8.133 0.920
8.300 0.920
8.567 0.920
8.817 0.920
8.983 0.920
9.250 0.920
9.500 0.920
9.750 0.920
10.950 0.920
11.200 0.920
11.467 0.920
11.717 0.920
11.983 0.920
12.233 0.920
12.483 0.920
12.750 0.920
13.000 0.920
13.267 0.920
13.517 0.920
13.767 0.920
14.033 0.920
14.283 0.920
14.550 0.920
14.800 0.920
15.067 0.920
15.317 0.920
15.583 0.920
15.833 0.920
16.100 0.920
16.350 0.920
16.617 0.920
16.867 0.920
17.117 0.920
17.383 0.920
17.633 0.920
17.900 0.920
18.150 0.920
18.417 0.920
18.667 0.920
18.933 0.920
19.183 0.920
19.450 0.920
