i value
0.000 0.975
0.250 1.000
0.517 0.987
0.767 1.000
1.033 1.000
1.283 1.000
1.550 0.986
1.800 0.957
2.067 0.975
2.317 0.978
2.583 0.980
2.833 0.970
3.100 0.991
3.350 0.976
3.517 0.988
3.783 0.964
4.033 1.000
4.200 0.989
4.467 0.980
4.717 0.972
4.883 0.995
5.150 0.995
5.400 0.995
5.567 0.989
5.833 0.990
6.083 0.989
6.250 0.990
6.517 0.975
6.767 0.986
6.933 0.995
7.200 0.995
7.450 0.986
7.617 0.981
7.883 0.995
8.133 1.000
8.300 0.995
8.567 0.995
8.817 0.995
8.983 0.994
9.250 0.989
9.500 0.990
9.750 0.990
10.950 0.980
11.200 0.980
11.467 1.000
11.717 1.000
11.983 1.000
12.233 1.000
12.483 1.000
12.750 0.983
13.000 0.988
13.267 0.983
13.517 0.976
13.767 1.000
14.033 1.000
14.283 1.000
14.550 0.976
14.800 0.920
15.067 1.000
15.317 1.000
15.583 0.987
15.833 1.000
16.100 0.991
16.350 0.982
16.617 0.985
16.867 1.000
17.117 0.978
17.383 0.987
17.633 1.000
17.900 0.978
18.150 0.992
18.417 0.995
18.667 0.995
18.933 0.995
19.183 0.986
19.450 0.991
