i value
1.033 437.035
1.283 435.679
1.550 436.518
1.800 436.245
2.067 436.366
2.317 435.429
2.583 435.970
2.833 434.910
3.100 434.927
3.350 434.865
3.517 434.877
3.783 435.146
4.033 437.260
4.200 438.157
4.467 438.577
4.717 440.880
4.883 441.400
5.150 441.186
5.400 442.305
5.567 443.115
5.833 442.664
6.083 443.208
6.250 444.494
6.517 443.829
6.767 444.160
6.933 444.621
7.200 444.741
7.450 443.260
7.617 442.803
7.883 442.216
8.133 441.810
8.300 441.775
8.567 441.788
8.817 442.589
8.983 442.489
9.250 443.193
9.500 444.105
9.750 444.628
10.950 447.653
11.200 446.741
11.467 444.833
11.717 442.458
11.983 442.939
12.233 439.911
12.483 440.652
12.750 441.055
13.000 442.647
13.267 441.633
13.517 440.016
13.767 439.284
14.033 440.699
14.283 440.747
14.550 440.069
14.800 441.725
15.067 445.085
15.317 444.764
15.583 444.134
15.833 444.023
16.100 445.942
16.350 444.787
16.617 446.791
16.867 447.535
17.117 451.503
17.383 449.755
17.633 448.475
17.900 447.047
18.150 447.730
18.417 446.008
18.667 445.191
18.933 445.912
19.183 446.557
19.450 446.491
