i value
0.000 500.000
0.250 500.000
0.517 500.000
0.767 500.000
1.033 500.000
1.283 500.000
1.550 500.000
1.800 500.000
2.067 500.000
2.317 500.000
2.583 500.000
2.833 500.000
3.100 500.000
3.350 500.000
3.517 500.000
3.783 500.000
4.033 500.000
4.200 500.000
4.467 500.000
4.717 500.000
4.883 500.000
5.150 500.000
5.400 500.000
5.567 500.000
5.833 500.000
6.083 500.000
6.250 500.000
6.517 500.000
6.767 500.000
6.933 500.000
7.200 500.000
7.450 500.000
7.617 500.000
7.883 500.000
8.133 500.000
8.300 500.000
8.567 500.000
8.817 500.000
8.983 500.000
9.250 500.000
9.500 500.000
9.750 500.000
10.950 500.000
11.200 500.000
11.467 500.000
11.717 500.000
11.983 500.000
12.233 500.000
12.483 500.000
12.750 500.000
13.000 500.000
13.267 500.000
13.517 500.000
13.767 500.000
14.033 500.000
14.283 500.000
14.550 500.000
14.800 500.000
15.067 500.000
15.317 500.000
15.583 500.000
15.833 500.000
16.100 500.000
16.350 500.000
16.617 500.000
16.867 500.000
17.117 500.000
17.383 500.000
17.633 500.000
17.900 500.000
18.150 500.000
18.417 500.000
18.667 500.000
18.933 500.000
19.183 500.000
19.450 500.000
