i value
0.000 440.140
0.250 432.958
0.517 437.455
0.767 436.322
1.033 438.301
1.283 433.359
1.550 437.153
1.800 436.090
2.067 436.927
2.317 433.616
2.583 436.066
2.833 431.849
3.100 436.177
3.350 436.619
3.517 433.672
3.783 437.414
4.033 442.416
4.200 440.666
4.467 438.717
4.717 445.189
4.883 440.013
5.150 441.343
5.400 446.263
5.567 442.765
5.833 442.934
6.083 442.734
6.250 447.773
6.517 442.937
6.767 444.424
6.933 445.234
7.200 443.338
7.450 440.368
7.617 440.652
7.883 441.485
8.133 443.205
8.300 443.164
8.567 440.434
8.817 444.657
8.983 440.983
9.250 446.729
9.500 447.724
9.750 443.046
10.950 459.782
11.200 436.425
11.467 437.190
11.717 435.846
11.983 445.454
12.233 444.639
12.483 440.131
12.750 439.203
13.000 443.810
13.267 440.382
13.517 436.554
13.767 436.470
14.033 446.279
14.283 444.050
14.550 436.991
14.800 444.835
15.067 453.271
15.317 444.673
15.583 440.900
15.833 436.436
16.100 454.432
16.350 447.495
16.617 454.691
16.867 444.622
17.117 456.276
17.383 445.690
17.633 441.094
17.900 447.553
18.150 448.035
18.417 447.668
18.667 441.605
18.933 444.699
19.183 450.778
19.450 447.702
