i value
0.867 0.707
1.133 0.707
1.300 0.707
1.567 0.707
1.817 0.707
2.083 0.866
2.767 0.866
2.933 0.866
3.200 0.866
3.450 0.866
3.617 0.967
3.883 0.969
4.133 0.970
4.300 0.969
4.567 0.965
4.817 0.964
4.983 0.962
5.250 0.958
5.500 0.954
5.667 0.956
5.933 0.956
6.183 0.954
6.350 0.955
6.617 0.959
6.867 0.956
7.033 0.956
7.300 0.961
7.550 0.963
7.717 0.961
7.983 0.963
8.233 0.962
8.400 0.959
8.667 0.959
8.917 0.962
9.083 0.961
9.350 0.963
9.600 0.963
10.867 0.963
11.133 0.963
11.300 0.963
11.550 0.963
11.817 0.973
11.983 0.973
12.250 0.975
12.500 0.972
12.667 0.971
12.933 0.972
13.183 0.971
13.350 0.968
13.617 0.969
13.783 0.970
13.950 0.969
14.217 0.970
14.467 0.968
14.733 0.967
14.983 0.968
15.150 0.968
15.417 0.967
15.583 0.971
15.833 0.974
16.100 0.973
16.267 0.974
16.533 0.972
16.700 0.969
16.867 0.967
17.133 0.966
17.300 0.966
17.467 0.964
17.733 0.965
17.900 0.965
18.150 0.967
18.417 0.965
18.583 0.965
18.850 0.965
19.100 0.967
19.367 0.968
19.617 0.968
