i value
0.000 0.900
0.267 0.900
0.433 0.900
0.700 0.900
0.867 0.900
1.133 0.900
1.300 0.900
1.567 0.900
1.817 0.900
2.083 0.900
2.767 0.900
2.933 0.900
3.200 0.900
3.450 0.900
3.617 0.900
3.883 0.900
4.133 0.900
4.300 0.900
4.567 0.900
4.817 0.900
4.983 0.900
5.250 0.900
5.500 0.900
5.667 0.900
5.933 0.900
6.183 0.900
6.350 0.900
6.617 0.900
6.867 0.900
7.033 0.900
7.300 0.900
7.550 0.900
7.717 0.900
7.983 0.900
8.233 0.900
8.400 0.900
8.667 0.900
8.917 0.900
9.083 0.900
9.350 0.900
9.600 0.900
10.867 0.900
11.133 0.900
11.300 0.900
11.550 0.900
11.817 0.900
11.983 0.900
12.250 0.900
12.500 0.900
12.667 0.900
12.933 0.900
13.183 0.900
13.350 0.900
13.617 0.900
13.783 0.900
13.950 0.900
14.217 0.900
14.467 0.900
14.733 0.900
14.983 0.900
15.150 0.900
15.417 0.900
15.583 0.900
15.833 0.900
16.100 0.900
16.267 0.900
16.533 0.900
16.700 0.900
16.867 0.900
17.133 0.900
17.300 0.900
17.467 0.900
17.733 0.900
17.900 0.900
18.150 0.900
18.417 0.900
18.583 0.900
18.850 0.900
19.100 0.900
19.367 0.900
19.617 0.900
