i value
0.000 0.713
0.267 0.712
0.433 0.707
0.700 0.707
0.867 0.697
1.133 0.877
1.300 0.861
1.567 0.865
1.817 0.863
2.083 0.866
2.767 0.957
2.933 0.968
3.200 0.972
3.450 0.971
3.617 0.968
3.883 0.967
4.133 0.971
4.300 0.969
4.567 0.949
4.817 0.963
4.983 0.958
5.250 0.953
5.500 0.946
5.667 0.962
5.933 0.958
6.183 0.950
6.350 0.959
6.617 0.963
6.867 0.950
7.033 0.958
7.300 0.975
7.550 0.968
7.717 0.954
7.983 0.959
8.233 0.955
8.400 0.958
8.667 0.971
8.917 0.965
9.083 0.957
9.350 0.963
9.600 0.960
10.867 0.975
11.133 0.973
11.300 0.975
11.550 0.972
11.817 0.968
11.983 0.976
12.250 0.984
12.500 0.962
12.667 0.964
12.933 0.975
13.183 0.972
13.350 0.970
13.617 0.964
13.783 0.970
13.950 0.968
14.217 0.979
14.467 0.962
14.733 0.956
14.983 0.974
15.150 0.969
15.417 0.976
15.583 0.979
15.833 0.973
16.100 0.970
16.267 0.970
16.533 0.970
16.700 0.963
16.867 0.964
17.133 0.962
17.300 0.970
17.467 0.964
17.733 0.965
17.900 0.963
18.150 0.972
18.417 0.963
18.583 0.963
18.850 0.963
19.100 0.974
19.367 0.979
19.617 0.962
