i value
0.867 72.818
1.133 72.818
1.300 72.818
1.567 72.818
1.817 72.818
2.083 39.859
2.767 39.859
2.933 39.859
3.200 39.859
3.450 39.859
3.617 18.053
3.883 18.086
4.133 18.038
4.300 17.941
4.567 17.867
4.817 17.779
4.983 17.598
5.250 17.594
5.500 17.637
5.667 17.579
5.933 17.600
6.183 17.627
6.350 17.636
6.617 17.598
6.867 17.613
7.033 17.578
7.300 17.493
7.550 17.474
7.717 17.502
7.983 17.521
8.233 17.512
8.400 17.550
8.667 17.568
8.917 17.590
9.083 17.607
9.350 17.647
9.600 17.663
10.867 17.663
11.133 17.663
11.300 17.663
11.550 17.663
11.817 22.529
11.983 18.316
12.250 18.020
12.500 17.930
12.667 17.884
12.933 17.711
13.183 17.660
13.350 17.614
13.617 17.801
13.783 18.009
13.950 18.268
14.217 18.569
14.467 18.991
14.733 19.213
14.983 19.217
15.150 19.279
15.417 19.377
15.583 19.052
15.833 18.665
16.100 18.453
16.267 18.154
16.533 17.765
16.700 17.704
16.867 17.671
17.133 17.623
17.300 17.623
17.467 17.652
17.733 17.622
17.900 17.608
18.150 17.590
18.417 17.590
18.583 17.537
18.850 17.546
19.100 17.535
19.367 17.524
19.617 17.557
