i value
0.000 90.000
0.267 90.000
0.433 90.000
0.700 90.000
0.867 90.000
1.133 90.000
1.300 90.000
1.567 90.000
1.817 90.000
2.083 90.000
2.767 90.000
2.933 90.000
3.200 90.000
3.450 90.000
3.617 90.000
3.883 90.000
4.133 90.000
4.300 90.000
4.567 90.000
4.817 90.000
4.983 90.000
5.250 90.000
5.500 90.000
5.667 90.000
5.933 90.000
6.183 90.000
6.350 90.000
6.617 90.000
6.867 90.000
7.033 90.000
7.300 90.000
7.550 90.000
7.717 90.000
7.983 90.000
8.233 90.000
8.400 90.000
8.667 90.000
8.917 90.000
9.083 90.000
9.350 90.000
9.600 90.000
10.867 90.000
11.133 90.000
11.300 90.000
11.550 90.000
11.817 90.000
11.983 90.000
12.250 90.000
12.500 90.000
12.667 90.000
12.933 90.000
13.183 90.000
13.350 90.000
13.617 90.000
13.783 90.000
13.950 90.000
14.217 90.000
14.467 90.000
14.733 90.000
14.983 90.000
15.150 90.000
15.417 90.000
15.583 90.000
15.833 90.000
16.100 90.000
16.267 90.000
16.533 90.000
16.700 90.000
16.867 90.000
17.133 90.000
17.300 90.000
17.467 90.000
17.733 90.000
17.900 90.000
18.150 90.000
18.417 90.000
18.583 90.000
18.850 90.000
19.100 90.000
19.367 90.000
19.617 90.000
