i value
0.000 72.954
0.267 73.063
0.433 71.566
0.700 71.165
0.867 75.345
1.133 43.612
1.300 38.771
1.567 38.338
1.817 39.870
2.083 38.704
2.767 18.314
2.933 17.788
3.200 17.944
3.450 18.119
3.617 18.098
3.883 18.479
4.133 17.548
4.300 17.463
4.567 17.745
4.817 17.660
4.983 17.573
5.250 17.530
5.500 17.679
5.667 17.453
5.933 17.763
6.183 17.709
6.350 17.577
6.617 17.490
6.867 17.527
7.033 17.587
7.300 17.283
7.550 17.484
7.717 17.630
7.983 17.622
8.233 17.539
8.400 17.474
8.667 17.574
8.917 17.743
9.083 17.705
9.350 17.737
9.600 17.558
10.867 38.881
11.133 19.280
11.300 18.160
11.550 18.018
11.817 18.303
11.983 17.818
12.250 17.800
12.500 17.709
12.667 17.791
12.933 17.439
13.183 17.558
13.350 17.574
13.617 18.645
13.783 18.828
13.950 18.736
14.217 19.059
14.467 19.684
14.733 19.757
14.983 18.850
15.150 19.043
15.417 19.550
15.583 18.062
15.833 17.818
16.100 17.793
16.267 17.546
16.533 17.603
16.700 17.759
16.867 17.652
17.133 17.555
17.300 17.544
17.467 17.751
17.733 17.609
17.900 17.579
18.150 17.469
18.417 17.542
18.583 17.484
18.850 17.658
19.100 17.521
19.367 17.416
19.617 17.708
