i value
0.000 200.668
0.433 193.075
0.967 191.864
1.483 187.876
1.983 187.892
2.500 187.575
3.017 194.252
3.533 194.089
4.067 197.669
4.567 193.842
5.083 192.049
5.600 190.600
6.117 190.774
6.633 192.838
7.067 191.799
7.567 188.152
8.083 194.120
8.600 192.863
9.033 195.982
9.533 189.765
10.050 195.054
10.567 195.901
11.083 184.830
11.517 184.675
11.933 188.570
12.450 186.054
12.967 190.586
13.483 185.477
14.250 185.727
14.767 186.889
15.283 198.463
15.800 200.741
16.317 196.006
16.817 192.771
17.333 200.092
17.933 233.316
18.517 224.599
19.033 200.843
