i value
0.000 500.000
0.433 500.000
0.967 500.000
1.483 500.000
1.983 500.000
2.500 500.000
3.017 500.000
3.533 500.000
4.067 500.000
4.567 500.000
5.083 500.000
5.600 500.000
6.117 500.000
6.633 500.000
7.067 500.000
7.567 500.000
8.083 500.000
8.600 500.000
9.033 500.000
9.533 500.000
10.050 500.000
10.567 500.000
11.083 500.000
11.517 500.000
11.933 500.000
12.450 500.000
12.967 500.000
13.483 500.000
14.250 500.000
14.767 500.000
15.283 500.000
15.800 500.000
16.317 500.000
16.817 500.000
17.333 500.000
17.933 500.000
18.517 500.000
19.033 500.000
