i value
0.000 0.870
0.617 0.870
1.133 0.870
1.650 0.870
2.167 0.870
2.600 0.870
3.117 0.870
3.633 0.870
4.150 0.870
4.583 0.870
4.667 0.870
5.100 0.870
5.183 0.870
5.600 0.870
5.683 0.870
6.117 0.870
6.200 0.870
6.633 0.870
6.717 0.870
7.150 0.870
7.233 0.870
7.583 0.870
7.750 0.870
8.083 0.870
8.267 0.870
8.600 0.870
8.767 0.870
9.117 0.870
9.283 0.870
9.550 0.870
9.800 0.870
10.067 0.870
10.317 0.870
10.567 0.870
11.600 0.870
12.533 0.870
13.050 0.870
13.567 0.870
14.767 0.870
15.283 0.870
15.800 0.870
16.317 0.870
16.833 0.870
17.350 0.870
17.950 0.870
18.533 0.870
19.050 0.870
