i value
0.000 0.834
0.617 0.880
1.133 0.940
1.650 0.940
2.167 0.956
2.600 0.972
3.117 0.967
3.633 0.959
4.150 0.963
4.583 0.962
4.667 0.969
5.100 0.970
5.183 0.966
5.600 0.971
5.683 0.974
6.117 0.970
6.200 0.970
6.633 0.968
6.717 0.966
7.150 0.968
7.233 0.968
7.583 0.968
7.750 0.970
8.083 0.974
8.267 0.969
8.600 0.964
8.767 0.966
9.117 0.968
9.283 0.965
9.550 0.961
9.800 0.963
10.067 0.967
10.317 0.969
10.567 0.972
11.600 0.987
12.533 0.941
13.050 0.940
13.567 0.986
14.767 0.953
15.283 0.987
15.800 0.986
16.317 0.980
16.833 0.983
17.350 0.978
17.950 0.977
18.533 0.987
19.050 0.984
