i value
0.000 750.683
0.517 716.546
1.033 736.505
1.550 713.244
2.067 701.311
2.500 734.682
2.600 729.441
3.117 726.330
3.550 756.203
3.633 749.906
4.067 730.205
4.150 750.885
4.667 936.464
5.550 834.803
5.717 733.201
6.250 730.267
6.767 741.744
7.300 738.837
7.817 745.323
8.333 756.736
9.550 762.363
9.633 1161.041
10.150 476.253
10.567 498.238
10.750 612.339
11.000 623.961
11.267 594.656
11.783 473.227
12.133 469.228
12.383 477.743
12.633 478.893
13.150 513.577
13.417 598.121
13.933 1070.478
14.450 963.288
14.967 692.372
15.483 505.792
15.833 458.713
16.350 494.175
16.517 471.757
16.950 387.692
17.117 390.535
17.633 273.177
18.150 362.422
18.483 373.217
18.917 375.552
19.000 366.865
19.167 369.935
