i value
0.000 800.000
0.617 800.000
1.133 800.000
1.650 800.000
2.167 800.000
2.600 800.000
3.117 800.000
3.633 800.000
4.150 800.000
4.583 800.000
4.667 800.000
5.100 800.000
5.183 800.000
5.600 800.000
5.683 800.000
6.117 800.000
6.200 800.000
6.633 800.000
6.717 800.000
7.150 800.000
7.233 800.000
7.583 800.000
7.750 800.000
8.083 800.000
8.267 800.000
8.600 800.000
8.767 800.000
9.117 800.000
9.283 800.000
9.550 800.000
9.800 800.000
10.067 800.000
10.317 800.000
10.567 800.000
11.600 800.000
12.533 800.000
13.050 800.000
13.567 800.000
14.767 800.000
15.283 800.000
15.800 800.000
16.317 800.000
16.833 800.000
17.350 800.000
17.950 800.000
18.533 800.000
19.050 800.000
