i value
0.000 1110.723
0.617 1264.189
1.133 1500.781
1.650 1406.388
2.167 662.593
2.600 659.601
3.117 645.494
3.633 627.041
4.150 638.927
4.583 525.432
4.667 608.855
5.100 625.634
5.183 631.374
5.600 630.993
5.683 666.745
6.117 568.776
6.200 690.462
6.633 704.981
6.717 633.478
7.150 659.763
7.233 642.378
7.583 641.388
7.750 606.957
8.083 741.114
8.267 655.183
8.600 566.096
8.767 626.814
9.117 669.417
9.283 678.811
9.550 562.078
9.800 532.929
10.067 637.482
10.317 572.509
10.567 825.572
11.600 962.735
12.533 691.995
13.050 588.558
13.567 2096.305
14.767 1478.639
15.283 665.420
15.800 600.964
16.317 617.322
16.833 617.815
17.350 648.027
17.950 650.279
18.533 604.472
19.050 585.753
