i value
0.000 455.796
0.617 444.204
1.133 442.616
1.650 440.215
2.167 438.962
2.600 443.630
3.117 444.179
3.633 448.414
4.150 439.910
4.667 446.327
5.183 443.558
5.683 442.787
6.200 444.997
6.717 440.264
7.233 440.321
7.750 442.953
8.267 439.752
8.767 440.812
9.283 443.978
9.800 439.597
10.317 444.623
11.083 442.361
11.600 436.093
12.117 445.419
12.617 438.722
13.133 449.679
14.250 437.659
14.767 435.231
15.283 447.016
15.800 457.378
16.317 451.375
16.833 450.485
17.350 458.599
17.967 440.628
18.533 456.628
