i value
0.000 500.000
0.617 500.000
1.133 500.000
1.650 500.000
2.167 500.000
2.600 500.000
3.117 500.000
3.633 500.000
4.150 500.000
4.667 500.000
5.183 500.000
5.683 500.000
6.200 500.000
6.717 500.000
7.233 500.000
7.750 500.000
8.267 500.000
8.767 500.000
9.283 500.000
9.800 500.000
10.317 500.000
11.083 500.000
11.600 500.000
12.117 500.000
12.617 500.000
13.133 500.000
14.250 500.000
14.767 500.000
15.283 500.000
15.800 500.000
16.317 500.000
16.833 500.000
17.350 500.000
17.967 500.000
18.533 500.000
