i value
0.000 90.192
0.433 45.673
1.483 20.070
1.983 19.104
2.500 18.859
3.017 19.325
3.533 18.909
4.050 18.904
4.567 18.378
5.083 18.291
5.600 18.013
6.117 17.950
6.550 18.119
6.967 17.927
7.483 17.941
8.000 17.865
8.433 18.004
8.933 17.843
9.450 17.962
9.967 18.196
10.483 18.005
11.083 21.402
11.517 18.096
11.933 21.139
12.450 17.989
12.967 18.894
13.483 18.124
14.250 18.671
14.767 19.343
15.283 19.354
15.783 18.662
16.300 18.968
16.817 18.472
17.333 18.877
17.917 66.660
18.500 51.893
19.033 21.757
