i value
5.583 0.858
7.333 0.858
9.067 0.858
10.167 0.858
10.350 0.858
10.700 0.912
10.867 0.912
11.217 0.912
11.400 0.912
11.750 0.912
11.917 0.912
12.267 0.912
12.350 0.912
12.433 0.912
12.767 0.912
12.867 0.968
12.950 0.972
13.283 0.972
13.383 0.971
13.467 0.971
13.817 0.968
13.883 0.965
13.983 0.963
14.317 0.963
14.417 0.965
14.500 0.967
14.833 0.970
14.917 0.973
15.000 0.976
15.367 0.977
15.433 0.976
15.533 0.972
15.883 0.967
15.967 0.962
16.050 0.960
16.400 0.960
16.483 0.964
16.567 0.968
16.917 0.970
17.000 0.971
17.100 0.971
17.433 0.970
17.517 0.967
17.617 0.965
17.950 0.965
18.033 0.967
18.117 0.968
18.467 0.971
18.550 0.970
18.633 0.968
