i value
0.000 0.856
1.767 0.855
2.750 0.862
3.667 0.866
5.583 0.854
7.333 0.897
9.067 0.913
10.167 0.914
10.350 0.915
10.700 0.920
10.867 0.944
11.217 0.934
11.400 0.890
11.750 0.899
11.917 0.949
12.267 0.957
12.350 0.971
12.433 0.969
12.767 0.967
12.867 0.977
12.950 0.974
13.283 0.971
13.383 0.966
13.467 0.966
13.817 0.964
13.883 0.958
13.983 0.961
14.317 0.968
14.417 0.974
14.500 0.976
14.833 0.972
14.917 0.973
15.000 0.983
15.367 0.982
15.433 0.971
15.533 0.951
15.883 0.949
15.967 0.959
16.050 0.968
16.400 0.972
16.483 0.970
16.567 0.973
16.917 0.968
17.000 0.972
17.100 0.969
17.433 0.966
17.517 0.958
17.617 0.962
17.950 0.968
18.033 0.979
18.117 0.974
18.467 0.969
18.550 0.960
18.633 0.958
