i value
5.583 6591.253
7.333 6591.253
9.067 6591.253
10.167 6591.253
10.350 6591.253
10.700 4561.871
10.867 4561.871
11.217 4561.871
11.400 4561.871
11.750 4561.871
11.917 4561.871
12.267 4561.871
12.350 4561.871
12.433 4561.871
12.767 4561.871
12.867 414.066
12.950 411.156
13.283 411.844
13.383 409.816
13.467 413.573
13.817 411.523
13.883 411.950
13.983 409.687
14.317 411.385
14.417 410.541
14.500 410.358
14.833 408.076
14.917 407.359
15.000 408.698
15.367 411.657
15.433 417.536
15.533 420.879
15.883 420.390
15.967 415.332
16.050 411.523
16.400 411.451
16.483 412.705
16.567 413.406
16.917 412.843
17.000 414.057
17.100 414.415
17.433 417.597
17.517 420.455
17.617 424.444
17.950 424.614
18.033 423.294
18.117 419.886
18.467 420.029
18.550 419.910
18.633 418.391
