i value
0.000 8134.382
1.767 4808.262
2.750 7111.607
3.667 6971.809
5.583 5930.205
7.333 6531.538
9.067 4684.410
10.167 5823.260
10.350 5076.758
10.700 693.388
10.867 1150.480
11.217 1129.402
11.400 408.710
11.750 406.373
11.917 405.943
12.267 419.698
12.350 426.394
12.433 427.460
12.767 394.949
12.867 401.830
12.950 405.146
13.283 429.838
13.383 417.318
13.467 413.734
13.817 391.580
13.883 407.283
13.983 418.522
14.317 425.808
14.417 409.515
14.500 390.663
14.833 395.874
14.917 414.934
15.000 432.504
15.367 424.310
15.433 420.061
15.533 412.585
15.883 412.493
15.967 407.214
16.050 405.263
16.400 419.699
16.483 418.858
16.567 415.998
16.917 404.396
17.000 411.336
17.100 421.488
17.433 434.765
17.517 430.292
17.617 424.339
17.950 412.184
18.033 414.890
18.117 417.725
18.467 431.007
18.550 423.744
18.633 404.587
