i value
0.000 500.000
0.517 500.000
1.050 500.000
1.567 500.000
2.083 500.000
2.600 500.000
3.100 500.000
3.617 500.000
4.133 500.000
4.650 500.000
5.167 500.000
5.600 500.000
6.100 500.000
6.617 500.000
7.133 500.000
7.567 500.000
8.067 500.000
8.583 500.000
9.100 500.000
9.517 500.000
10.033 500.000
10.550 500.000
10.983 500.000
11.483 500.000
12.000 500.000
12.517 500.000
12.933 500.000
13.450 500.000
13.967 500.000
14.483 500.000
15.000 500.000
15.500 500.000
16.017 500.000
16.533 500.000
16.967 500.000
17.467 500.000
17.983 500.000
18.500 500.000
19.000 500.000
