i value
0.000 191.171
0.517 190.971
1.050 190.517
1.567 190.569
2.083 189.362
2.600 194.815
3.100 187.095
3.617 191.244
4.133 188.834
4.650 188.135
5.167 190.586
5.600 187.003
6.100 187.248
6.617 186.987
7.133 189.215
7.567 191.975
8.067 192.021
8.583 190.321
9.100 190.403
9.517 194.419
10.033 193.664
10.550 195.793
10.983 194.618
11.483 193.281
12.000 189.920
12.517 191.606
12.933 193.328
13.450 193.180
13.967 189.794
14.483 196.270
15.000 193.059
15.500 191.325
16.017 196.397
16.533 192.620
16.967 192.443
17.467 193.279
17.983 192.842
18.500 192.491
19.000 192.743
