i value
2.067 1167.834
2.583 1167.834
3.100 1167.834
3.617 1167.834
4.117 1167.834
4.633 1261.678
5.150 1261.678
5.667 1261.678
6.083 1261.678
6.600 1261.678
7.117 1502.959
7.633 1502.959
8.150 1502.959
8.650 1502.959
9.167 1502.959
9.683 632.091
10.200 625.028
10.700 633.780
11.217 647.576
11.733 655.951
12.250 648.071
12.767 648.228
13.267 644.915
13.783 647.432
14.300 646.640
14.817 646.125
15.333 650.645
15.850 656.926
16.350 648.777
16.867 640.296
17.383 631.542
17.883 629.211
18.400 622.143
18.917 638.198
