i value
0.000 90.000
0.517 90.000
1.033 90.000
1.567 90.000
2.067 90.000
2.600 90.000
3.100 90.000
3.617 90.000
4.133 90.000
4.650 90.000
5.167 90.000
5.600 90.000
6.100 90.000
6.617 90.000
7.133 90.000
7.550 90.000
8.067 90.000
8.583 90.000
9.100 90.000
9.517 90.000
10.033 90.000
10.550 90.000
10.967 90.000
11.483 90.000
12.000 90.000
12.433 90.000
12.933 90.000
13.450 90.000
13.967 90.000
14.400 90.000
14.900 90.000
15.417 90.000
15.933 90.000
16.450 90.000
16.950 90.000
17.467 90.000
17.983 90.000
18.417 90.000
18.917 90.000
