i value
0.000 76.001
0.517 73.010
1.033 73.055
1.567 73.869
2.067 72.933
2.600 36.848
3.100 36.763
3.617 37.401
4.133 37.496
4.650 37.823
5.167 19.687
5.600 17.926
6.100 17.749
6.617 17.951
7.133 17.814
7.550 17.796
8.067 17.396
8.583 17.461
9.100 17.291
9.517 17.582
10.033 17.311
10.550 17.385
10.967 17.251
11.483 17.388
12.000 17.361
12.433 17.333
12.933 17.276
13.450 17.403
13.967 17.446
14.400 17.483
14.900 17.910
15.417 17.830
15.933 17.394
16.450 17.764
16.950 17.513
17.467 17.227
17.983 17.237
18.417 17.952
18.917 17.439
