i value
5 185.80270643552598
6 186.5452631242793
7 186.2156337657645
8 186.61601827107194
9 187.0763346569228
10 188.15486431285373
11 188.852908052415
12 190.5155767537638
13 192.08277635129622
14 194.03873145351986
15 194.49855620582917
16 194.9416652853967
17 194.86220199040366
18 194.6907716792197
19 193.76492411061727
20 193.17706887570475
21 191.57246115549748
22 190.80544028462242
23 189.40036905024752
24 188.393482109009
25 188.9224881609002
26 188.74431893945055
27 188.97822745804166
28 189.2069286361935
29 189.42556948897897
30 188.26358236062885
31 189.65619147629758
32 190.94031865050763
33 191.24299176344124
34 192.34842870034151
35 192.80887442912243
36 192.41959490911972
37 191.86797178099042
38 192.65599359968786
39 192.79013523505796
40 193.26084152560966
41 192.5905531999645
42 191.7607294983939
43 190.89203980536325
44 191.7080654155041
45 191.34000926827198
46 191.95724488850374
47 191.8898581233745
48 191.88594057517193
49 190.99378976913061
50 192.25218399940664
51 192.3730730875469
52 193.33629355302912
53 193.4989682849636
54 193.3080552383444
55 193.06176059159822
56 192.86928808571474
57 192.13181584633372
58 191.99851321133167
59 191.096666174964
60 190.4827540236176
