i value
1 188.0765424901962
2 186.91921334736736
3 185.81057226605535
4 183.81516851260554
5 184.3920355614054
6 191.78932593396277
7 185.27106655479332
8 187.81249479259262
9 186.1167504418598
10 189.78468384106014
11 195.279544631769
12 193.5844100615375
13 195.64849278025454
14 195.89652595297815
15 192.08380760260667
16 197.49509002960679
17 193.18709358657208
18 194.79134122433473
19 191.2672881099661
20 189.14453142804413
21 189.47205142857032
22 189.35198923219687
23 187.7659850524601
24 186.2328534037736
25 191.7895616875001
26 188.58120532132205
27 190.5215318251524
28 188.90949094321942
29 187.32605766770084
30 185.9796260457495
31 195.54425089966574
32 196.94216769620263
33 190.4228565078875
34 192.85324235220216
35 188.28185468965407
36 193.5978532996522
37 194.1840520555561
38 194.36296560137478
39 193.52395052905266
40 190.6353861424126
41 190.24641167142627
42 190.03493354770325
43 190.0195171362216
44 197.60407857975687
45 188.79510540625196
46 193.33258977258504
47 189.697999722057
48 189.99992939520874
49 193.14332454955044
50 195.0870765576319
51 193.93703521328646
52 194.5141020494681
53 190.8133030548811
54 192.18875931645448
55 193.85560332390088
56 192.97467268386916
57 190.8267408525631
58 190.14678987987074
59 187.6795241346162
60 190.78604256716878
