i value
9 1282.28448167077
10 1282.28448167077
11 1282.28448167077
12 1282.28448167077
13 1282.28448167077
14 1282.28448167077
15 623.7953994960757
16 653.0488081229005
17 683.336290592706
18 687.2444404562164
19 677.2041704418876
20 682.6413318834936
21 668.8302618020082
22 652.8072443422727
23 657.818687402525
24 647.3342632582754
25 638.4556352743825
26 637.8732280720644
27 633.0251596844716
28 624.2007579115891
29 639.0723586317768
30 643.6900751842761
31 644.135857104512
32 642.4592424610007
33 649.4388979288104
34 639.0146590169985
35 645.7692651237245
36 661.2065997579085
37 674.8920047434401
38 666.3322134453142
39 667.485090894175
40 673.24790723545
41 651.7566056024274
42 638.6983949851856
43 641.7456665612448
44 638.7087058300015
45 627.2927169287127
46 633.0974466086319
47 629.9040484640489
48 631.2696290749079
49 636.0737915645317
50 650.2249006720231
51 657.8117886001537
52 659.5334221582343
53 653.2532961869571
54 647.0223781522689
55 640.9321534505476
56 644.6226290274835
57 697.0805382794819
58 719.8981550654182
