i value
1 65.0700773637514
2 66.40974933792039
3 63.758595123082834
4 63.67618070459014
5 64.65067333371164
6 31.139548955288447
7 24.644567745393857
8 24.85627694721615
9 24.991216452953374
10 23.156854700160054
11 2.306498721385544
12 2.5345575521706007
13 2.3793021942945267
14 2.3637228861066286
15 2.2070015297383017
16 2.0828116717557252
17 2.2524616448942165
18 2.15208573583258
19 2.2449722348993206
20 2.1195809966527297
21 2.0988776095380093
22 2.179216717618661
23 2.0963527239488164
24 2.1919257411944812
25 2.2272692367256623
26 2.136362702621725
27 2.067611675154314
28 2.182628630157542
29 2.149309081422917
30 2.1566939223221606
31 2.2251027834891013
32 2.2682124089834597
33 2.71342610297482
34 2.168627470769224
35 2.410174585702682
36 2.2896579328968913
37 2.4305073619683255
38 2.0861564731670406
39 2.155148075920239
40 2.0622870068085066
41 2.1698639175965715
42 2.2319597162264246
43 2.0600753660915396
44 2.1446368433735
45 2.6667786956856583
46 2.675373510828995
47 2.317692809593026
48 2.3682664146706633
49 2.085150935064924
50 2.252498868866319
51 2.7076267834782417
52 2.3456826117734813
53 2.248662450506605
54 2.1754515684774334
55 2.571728338061479
56 2.348901214454048
57 2.499525426848879
58 2.2308462597402543
59 2.5728823261682203
