i value
0.000 500.000
0.517 500.000
1.033 500.000
1.550 500.000
2.067 500.000
2.583 500.000
3.100 500.000
3.533 500.000
3.950 500.000
4.467 500.000
4.983 500.000
5.500 500.000
5.933 500.000
6.350 500.000
6.867 500.000
7.383 500.000
7.817 500.000
8.317 500.000
8.833 500.000
9.350 500.000
9.867 500.000
10.300 500.000
10.817 500.000
11.317 500.000
11.833 500.000
12.350 500.000
12.783 500.000
13.300 500.000
13.800 500.000
14.317 500.000
14.833 500.000
15.250 500.000
15.767 500.000
16.283 500.000
16.800 500.000
17.233 500.000
17.733 500.000
18.250 500.000
18.767 500.000
19.283 500.000
