i value
2 1205.4824118656134
3 1205.4824118656134
4 1278.9374261733876
5 1278.9374261733876
6 1278.9374261733876
7 1451.1190131712563
8 1451.1190131712563
9 711.8360680482562
10 697.7243340549709
11 624.6744334845513
12 630.3966697163853
13 658.720720236784
14 648.4660550219485
15 703.3336657547515
16 698.9155072003928
17 653.6254076623562
18 631.1485716541649
19 632.3652068810674
20 658.5436664077472
21 657.0787332438408
22 624.8084143267621
23 609.0678263367982
24 631.6862123798574
25 640.7345303981077
26 627.0028734128131
27 649.2457951619912
28 670.4040999704589
29 655.4755078864972
30 655.1682186960787
31 652.9139927903861
32 652.542251386611
33 665.3931986521213
34 632.9279167008972
35 628.6797742502013
36 655.4131116818696
37 657.3352171326726
38 669.6389151782832
39 662.8306752301793
40 664.8170849897949
41 650.6831938391524
42 638.5718192603373
43 646.179559000934
44 646.4783146110726
45 657.1807062695741
46 655.934735103679
47 651.0614242242309
48 640.5833995749196
49 632.9368839388871
50 632.5435796982401
51 631.7067985431377
52 625.4392586050553
53 627.6333720066071
54 640.7242977890668
55 665.5776333289031
56 690.2122725454933
57 666.2015113716864
58 670.8337628625986
59 679.9953755847882
60 640.7810775111693
