i value
2 440.8173774634147
3 448.2082677625001
4 447.94474384760673
5 445.15645939419767
6 443.52382229160855
7 437.97795329204166
8 452.97155245238105
9 455.39598431668514
10 440.98979217008286
11 440.88112307332995
12 441.9827202361661
13 439.94014125273
14 445.74663510810205
15 449.40786266480046
16 443.60076745168436
17 440.87860716741886
18 441.6503935374115
19 442.2977381565851
20 440.91771957108915
21 440.95410502313723
22 443.13299805207384
23 442.50709780496356
24 443.2868103862621
25 443.7010631702426
26 441.3117162546124
27 438.7611865280364
28 440.11820730064255
29 443.7834037342841
30 444.90420770199603
31 444.83663987442606
32 443.0026290095914
33 442.6188008710833
34 442.10971206904856
35 440.7985784880826
36 443.8104030001274
37 445.3366812076931
38 443.04144766964953
39 441.7373655438095
40 440.15313833712304
41 440.10661892806684
42 441.9990350907269
43 441.64021200895183
44 440.834314467073
45 441.3610384284609
46 442.1511663916796
47 442.70142093915626
48 442.569281989362
49 442.30567331654635
50 441.505350393899
51 441.45968650252485
52 441.57464118833025
53 441.3984655072126
54 443.3135594468189
55 441.5420475856329
56 442.73621022462976
57 444.38348824520546
58 442.47641271922487
59 441.86567298696764
