i value
1 74.22945180439764
2 67.25275377313989
3 28.149545110087367
4 23.89458492596712
5 2.907126319554848
6 2.665421325108853
7 3.4489855975976003
8 3.3520055820149937
9 2.5090976992782656
10 2.509804325563326
11 3.0489773291437507
12 2.371176474440893
13 2.07727977768014
14 2.2317337134445583
15 2.2663457090606838
16 2.236686782318596
17 2.208466299339691
18 2.383721703789636
19 2.637442916602317
20 2.2298440905716443
21 2.0907837022900746
22 2.2539124407692315
23 2.3059823759342293
24 2.1475001680933863
25 2.4855662257587006
26 2.25657492470588
27 2.1209564038759665
28 2.5490123385703023
29 2.195495191153236
30 2.690392917944783
31 2.344533976666665
32 2.1828814359183726
33 2.4282633832199494
34 2.293356297134244
35 2.105270805144194
36 2.19052511278196
37 2.128971889415488
38 2.1682221714285648
39 2.203178215170294
40 2.113235512019235
41 2.1070289504950384
42 2.1428430233962374
43 2.391537269731803
44 2.1563961108580165
45 2.139642016267115
46 2.141837198541314
47 2.249112119905953
48 2.127887435614412
49 2.1380287300522065
50 2.2317676258607384
51 2.0689472837398437
52 2.1811047047832623
53 2.1105969507462663
54 2.250472930047708
55 2.141424664601771
56 2.078891780769236
57 2.1565904015151602
58 2.8383582646822143
59 2.1586358959938368
60 2.118087927241961
