i value
0.000 200.753
0.517 199.877
1.017 195.945
1.533 199.426
2.050 196.499
2.567 196.583
2.983 194.484
3.500 193.174
4.100 198.216
4.517 193.901
5.033 188.098
5.550 189.973
6.050 193.834
6.567 192.245
7.000 195.524
7.500 196.011
8.017 190.942
8.433 191.908
8.950 193.643
9.467 193.624
9.967 200.874
10.483 196.164
11.000 195.303
11.583 203.912
12.100 209.043
12.617 207.471
13.133 209.219
13.650 192.276
14.150 194.532
14.667 192.081
15.167 195.467
15.683 194.563
16.117 195.649
16.617 191.091
17.133 191.090
17.650 195.937
18.150 188.678
18.667 192.067
19.167 190.302
