i value
2.050 435.863
2.567 435.863
2.983 435.863
3.500 435.863
4.100 435.863
4.533 435.863
5.033 435.863
5.550 435.863
6.050 435.863
6.567 281.090
7.083 271.905
7.583 278.523
8.100 276.269
8.517 272.640
9.033 276.399
9.550 279.214
10.067 276.207
10.567 277.692
11.083 282.337
11.600 282.337
12.100 282.337
12.633 282.337
13.133 282.337
13.650 282.337
14.150 282.337
14.667 198.553
15.183 237.270
15.683 278.000
16.200 283.048
16.717 279.820
17.217 280.044
17.733 280.702
18.250 276.103
18.750 273.571
19.267 270.517
