i value
0.000 800.000
0.517 800.000
1.017 800.000
1.533 800.000
2.050 800.000
2.567 800.000
2.983 800.000
3.500 800.000
4.100 800.000
4.533 800.000
5.033 800.000
5.550 800.000
6.050 800.000
6.567 800.000
7.083 800.000
7.583 800.000
8.100 800.000
8.517 800.000
9.033 800.000
9.550 800.000
10.067 800.000
10.567 800.000
11.083 800.000
11.600 800.000
12.100 800.000
12.633 800.000
13.133 800.000
13.650 800.000
14.150 800.000
14.667 800.000
15.183 800.000
15.683 800.000
16.200 800.000
16.717 800.000
17.217 800.000
17.733 800.000
18.250 800.000
18.750 800.000
19.267 800.000
