i value
0.000 461.281
0.517 421.663
1.017 426.490
1.533 431.773
2.050 438.108
2.567 416.843
2.983 433.450
3.500 355.139
4.100 269.708
4.533 316.649
5.033 266.632
5.550 271.051
6.050 282.610
6.567 268.507
7.083 270.725
7.583 299.722
8.100 259.783
8.517 264.462
9.033 287.300
9.550 284.801
10.067 284.687
10.567 267.212
11.083 287.687
11.600 191.272
12.100 85.695
12.633 85.032
13.133 86.393
13.650 261.827
14.150 289.351
14.667 270.164
15.183 278.615
15.683 290.044
16.200 287.064
16.717 273.215
17.217 271.281
17.733 281.907
18.250 267.050
18.750 274.404
19.267 257.944
