i value
0.000 500.000
0.517 500.000
1.017 500.000
1.533 500.000
2.050 500.000
2.567 500.000
3.000 500.000
3.417 500.000
3.500 500.000
3.933 500.000
4.433 500.000
4.950 500.000
5.467 500.000
5.967 500.000
6.483 500.000
6.917 500.000
7.417 500.000
7.933 500.000
8.433 500.000
8.950 500.000
9.467 500.000
9.983 500.000
10.483 500.000
11.000 500.000
13.467 500.000
13.983 500.000
14.500 500.000
15.000 500.000
15.517 500.000
16.033 500.000
16.533 500.000
17.050 500.000
17.567 500.000
18.067 500.000
18.583 500.000
19.100 500.000
