i value
0.000 394.774
0.517 393.630
1.017 392.350
1.533 393.000
2.050 393.634
2.567 396.380
3.000 396.009
3.417 296.131
3.500 290.735
3.933 289.050
4.433 212.129
4.950 205.975
5.467 206.488
5.967 206.456
6.483 205.277
6.917 210.144
7.417 212.504
7.933 208.929
8.433 208.314
8.950 211.283
9.467 207.485
9.983 214.112
10.483 209.017
11.000 210.721
13.467 213.116
13.983 208.763
14.500 207.165
15.000 206.836
15.517 209.196
16.033 208.419
16.533 207.100
17.050 205.825
17.567 213.377
18.067 204.050
18.583 206.270
19.100 205.657
