i value
0.000 90.000
0.517 90.000
1.017 90.000
1.533 90.000
1.967 90.000
2.483 90.000
2.983 90.000
3.500 90.000
4.100 90.000
4.517 90.000
5.033 90.000
5.550 90.000
6.050 90.000
6.567 90.000
7.000 90.000
7.500 90.000
8.017 90.000
8.433 90.000
8.950 90.000
9.367 90.000
9.883 90.000
10.400 90.000
10.817 90.000
11.333 90.000
11.767 90.000
12.267 90.000
12.783 90.000
13.300 90.000
13.817 90.000
14.317 90.000
14.833 90.000
15.350 90.000
15.850 90.000
16.367 90.000
16.883 90.000
17.383 90.000
17.900 90.000
18.400 90.000
18.917 90.000
