i value
5 0.9904341553365932
6 0.991142823558873
7 0.9896615933462997
8 0.990504539792133
9 0.9899604858682045
10 0.9898466383594242
11 0.9872503840390319
12 0.988198867428536
13 0.9862219662735937
14 0.9838085851505353
15 0.9855329246408321
16 0.989640627961134
17 0.9892780579797955
18 0.9914864966650041
19 0.9930454282507455
20 0.9925426291630407
21 0.9919507203930162
22 0.9916206101221384
23 0.9903745140109155
24 0.9898702795063613
25 0.9901936588022942
26 0.9888332431197245
27 0.9882702770699832
28 0.9885383003281334
