i value
1 195.26698271212126
2 196.42019133834583
3 190.39320021428568
4 191.6244442716981
5 190.30061887279146
6 191.8434534676806
7 195.49525030855034
8 190.77710403754267
9 200.25580633762053
10 189.1164689847095
11 196.7605441170212
12 189.2547819804558
13 191.27686382727273
14 191.48641322712908
15 185.07523717021317
16 186.1386972110094
17 190.63443291975318
18 186.54108645287903
19 192.7960857171581
20 193.00878450198158
21 193.23719746845637
22 190.71517265877463
23 189.46905942489252
24 189.26264033286495
25 193.3745485229963
26 193.15195358721738
27 190.65469789457356
28 195.25337518614074
29 191.760577934877
