i value
5 1284.0847200911055
6 1284.0847200911055
7 1284.0847200911055
8 1284.0847200911055
9 1284.0847200911055
10 1204.7640074606206
11 1204.7640074606206
12 1204.7640074606206
13 1204.7640074606206
14 1204.7640074606206
15 1204.7640074606206
16 1489.59411561663
17 1489.59411561663
18 1489.59411561663
19 1489.59411561663
20 1489.59411561663
21 678.022372536082
22 667.08950629983
23 648.8039349983097
24 649.2958045000096
25 648.3321192601692
26 652.1590463529681
27 660.6074607186774
28 654.7595704829379
