i value
5 441.73327208203153
6 440.38318667093034
7 440.01859900871057
8 440.0806421778793
9 440.14685773755645
10 440.32209933230223
11 440.93761472000745
12 440.74189758747144
13 440.8338949474023
14 439.7723317446824
15 439.0986212306263
16 438.44872472143624
17 439.14952037291897
18 439.67964246232833
19 440.58101964229445
20 442.18530347950093
21 442.48653775978426
22 442.3998143147449
23 442.4198148686376
24 442.3371009682537
25 441.80217807369735
26 442.5403008500554
27 442.9963515873842
28 442.95098422764886
