i value
5 66.60822178908661
6 66.60822178908661
7 66.60822178908661
8 66.60822178908661
9 66.60822178908661
10 31.19802712146511
11 31.19802712146511
12 31.19802712146511
13 31.19802712146511
14 31.19802712146511
15 2.5358119745549756
16 2.52504253527772
17 2.56661009780689
18 2.60639794527326
19 2.6076984684482896
20 2.5803243400658626
21 2.5376517932531732
22 2.3982949137191483
23 2.2746166804004604
24 2.220245363167916
25 2.1585288262232103
26 2.1729786950828602
27 2.213715196265889
28 2.2800031801992366
29 2.3092400337829955
