i value
1 191.19799272000003
2 192.83706040248964
3 189.26175956696417
4 189.53633079916327
5 187.86945766666673
6 194.5907623494424
7 188.8475108643409
8 187.74667132352945
9 185.40435413333367
10 193.57729516577544
11 199.1331812412587
12 193.42898634172684
13 192.23746412478894
14 192.16392711992992
15 189.18068629032243
16 191.48094557491268
17 190.1827265711711
18 193.0862179870129
19 189.33713725876476
20 192.82702174311922
21 192.19444432717148
22 191.44313853903375
23 194.58405390098912
24 191.4689462011065
25 192.01250396953398
26 192.42756194152122
27 191.5445728916819
28 194.5625991622645
29 192.36067774414005
30 191.16025919170926
31 191.61370823984493
32 187.66491669394966
