i value
1 0.8530958802619191
2 0.8476538799158069
3 0.848425558101329
4 0.8644014750114775
5 0.8577801109637032
6 0.891063099470179
7 0.931576993526318
8 0.9236394263638685
9 0.9211227949324837
10 0.9093021549897414
11 0.9783632565483655
12 0.9714702108792351
13 0.9846012166540026
14 0.9833175142557926
15 0.9867322361004025
16 0.9798262870311882
17 0.9786032598430028
18 0.9846268409797342
19 0.9798043317890928
20 0.9825090582923499
21 0.9797197254126817
22 0.9804023492262685
23 0.9825734574016515
24 0.9808192892624177
25 0.9820766257316846
26 0.980058960225795
27 0.9849477195626437
28 0.981768206394486
29 0.9846577961958071
30 0.9794374008038507
31 0.9853593963470316
