i value
1 441.71873600401614
2 442.44356154321
3 438.6488185514017
4 440.3308269576272
5 439.13945178475365
6 439.5014921561339
7 436.63352296093717
8 437.8066775296293
9 438.03853692276385
10 442.9344845010526
11 441.2263051775546
12 443.97539335559543
13 445.4581098690483
14 443.9512961105076
15 444.47800263592336
16 444.6809566193074
17 441.7547240697683
18 442.9739754431434
19 442.8529704990675
20 444.8853600335832
21 444.532718387337
22 440.2070587855728
23 440.956384656132
24 440.4440211207212
25 441.4542535098405
26 438.19540600570366
27 443.0625576832072
28 442.0495082415825
29 440.7555578283708
30 441.0141496252332
31 441.02026564130506
