i value
5 67.73897647395685
6 67.73897647395685
7 67.73897647395685
8 67.73897647395685
9 67.73897647395685
10 25.41784157814883
11 25.41784157814883
12 25.41784157814883
13 25.41784157814883
14 25.41784157814883
15 2.4559313672333927
16 2.4340301622579497
17 2.378608981629081
18 2.2814809434493917
19 2.289656442839538
20 2.3385775734886236
21 2.298039030818652
22 2.2671156399444374
23 2.256290095526275
24 2.30382223390713
25 2.2490550572514474
26 2.2634299436411225
27 2.2999719091162474
28 2.3002694930292478
29 2.267472708560768
30 2.277708298026903
31 2.2813539171770048
