i value
0.000 0.920
0.350 0.920
0.683 0.920
1.117 0.920
1.467 0.920
1.800 0.920
2.400 0.920
2.750 0.920
3.100 0.920
3.700 0.920
4.033 0.920
4.383 0.920
4.633 0.920
4.983 0.920
5.233 0.920
5.583 0.920
5.917 0.920
6.267 0.920
6.517 0.920
6.867 0.920
7.117 0.920
7.467 0.920
7.717 0.920
8.067 0.920
8.317 0.920
8.667 0.920
9.000 0.920
9.350 0.920
9.600 0.920
9.950 0.920
10.283 0.920
10.633 0.920
10.967 0.920
11.317 0.920
11.567 0.920
11.917 0.920
12.167 0.920
12.517 0.920
12.767 0.920
13.117 0.920
13.450 0.920
13.800 0.920
14.050 0.920
14.400 0.920
14.733 0.920
15.083 0.920
15.333 0.920
15.683 0.920
16.017 0.920
16.367 0.920
16.617 0.920
16.967 0.920
17.300 0.920
17.650 0.920
17.900 0.920
18.250 0.920
18.600 0.920
18.933 0.920
19.283 0.920
19.617 0.920
19.967 0.920
20.300 0.920
20.650 0.920
20.983 0.920
21.333 0.920
21.583 0.920
21.933 0.920
22.283 0.920
22.617 0.920
22.967 0.920
23.300 0.920
23.650 0.920
24.000 0.920
24.333 0.920
24.683 0.920
25.017 0.920
25.367 0.920
25.700 0.920
26.050 0.920
26.383 0.920
26.733 0.920
27.083 0.920
27.417 0.920
27.767 0.920
28.100 0.920
28.450 0.920
28.783 0.920
29.133 0.920
29.483 0.920
29.817 0.920
30.167 0.920
30.500 0.920
30.850 0.920
31.200 0.920
31.533 0.920
31.883 0.920
32.217 0.920
32.567 0.920
32.917 0.920
33.250 0.920
33.600 0.920
33.950 0.920
34.283 0.920
34.633 0.920
34.983 0.920
35.417 0.920
35.750 0.920
36.100 0.920
36.450 0.920
36.867 0.920
37.217 0.920
37.550 0.920
37.900 0.920
38.250 0.920
38.583 0.920
38.933 0.920
39.283 0.920
39.717 0.920
40.150 0.920
40.483 0.920
40.917 0.920
41.350 0.920
41.683 0.920
42.117 0.920
42.550 0.920
42.967 0.920
43.400 0.920
43.833 0.920
44.267 0.920
44.700 0.920
45.117 0.920
45.550 0.920
45.983 0.920
46.400 0.920
46.833 0.920
47.267 0.920
47.683 0.920
48.117 0.920
48.550 0.920
48.967 0.920
49.317 0.920
49.650 0.920
50.000 0.920
50.350 0.920
50.683 0.920
51.033 0.920
51.367 0.920
51.800 0.920
52.233 0.920
52.567 0.920
52.917 0.920
53.350 0.920
53.783 0.920
54.200 0.920
54.633 0.920
54.983 0.920
55.400 0.920
55.850 0.920
56.350 0.920
56.683 0.920
57.117 0.920
57.550 0.920
57.967 0.920
58.400 0.920
58.833 0.920
59.183 0.920
59.517 0.920
