i value
0.000 1.000
0.350 1.000
0.683 1.000
1.117 1.000
1.467 1.000
1.800 1.000
2.400 1.000
2.750 1.000
3.100 1.000
3.700 1.000
4.033 1.000
4.383 1.000
4.633 1.000
4.983 1.000
5.233 1.000
5.583 1.000
5.917 1.000
6.267 1.000
6.517 1.000
6.867 1.000
7.117 1.000
7.467 0.997
7.717 1.000
8.067 1.000
8.317 1.000
8.667 1.000
9.000 1.000
9.350 1.000
9.600 1.000
9.950 1.000
10.283 1.000
10.633 1.000
10.967 1.000
11.317 1.000
11.567 1.000
11.917 1.000
12.167 1.000
12.517 1.000
12.767 1.000
13.117 1.000
13.450 1.000
13.800 1.000
14.050 1.000
14.400 1.000
14.733 1.000
15.083 0.997
15.333 1.000
15.683 1.000
16.017 1.000
16.367 1.000
16.617 1.000
16.967 1.000
17.300 1.000
17.650 1.000
17.900 1.000
18.250 1.000
18.600 1.000
18.933 1.000
19.283 1.000
19.617 1.000
19.967 1.000
20.300 1.000
20.650 1.000
20.983 1.000
21.333 1.000
21.583 1.000
21.933 1.000
22.283 0.997
22.617 1.000
22.967 1.000
23.300 1.000
23.650 0.997
24.000 0.997
24.333 1.000
24.683 1.000
25.017 1.000
25.367 1.000
25.700 1.000
26.050 1.000
26.383 1.000
26.733 1.000
27.083 1.000
27.417 1.000
27.767 1.000
28.100 1.000
28.450 1.000
28.783 1.000
29.133 1.000
29.483 1.000
29.817 1.000
30.167 1.000
30.500 1.000
30.850 1.000
31.200 1.000
31.533 1.000
31.883 1.000
32.217 1.000
32.567 1.000
32.917 0.997
33.250 1.000
33.600 1.000
33.950 1.000
34.283 1.000
34.633 1.000
34.983 1.000
35.417 1.000
35.750 1.000
36.100 1.000
36.450 1.000
36.867 1.000
37.217 1.000
37.550 0.997
37.900 1.000
38.250 1.000
38.583 1.000
38.933 1.000
39.283 1.000
39.717 1.000
40.150 1.000
40.483 1.000
40.917 1.000
41.350 1.000
41.683 1.000
42.117 1.000
42.550 1.000
42.967 1.000
43.400 1.000
43.833 1.000
44.267 1.000
44.700 1.000
45.117 0.997
45.550 0.995
45.983 1.000
46.400 1.000
46.833 1.000
47.267 1.000
47.683 1.000
48.117 1.000
48.550 1.000
48.967 1.000
49.317 1.000
49.650 1.000
50.000 1.000
50.350 1.000
50.683 1.000
51.033 1.000
51.367 1.000
51.800 1.000
52.233 1.000
52.567 1.000
52.917 1.000
53.350 1.000
53.783 1.000
54.200 0.997
54.633 1.000
54.983 1.000
55.400 1.000
55.850 1.000
56.350 1.000
56.683 1.000
57.117 1.000
57.550 1.000
57.967 1.000
58.400 1.000
58.833 1.000
59.183 1.000
59.517 1.000
