i value
0.000 195.486
0.350 192.431
0.683 190.347
1.117 189.631
1.467 192.241
1.800 195.453
2.400 191.095
2.750 191.028
3.100 193.748
3.700 194.606
4.033 192.307
4.383 200.922
4.633 195.600
4.983 196.546
5.233 197.797
5.583 193.575
5.917 195.871
6.267 194.874
6.517 194.204
6.867 194.476
7.117 196.109
7.467 199.043
7.717 191.965
8.067 197.283
8.317 196.016
8.667 196.761
9.000 194.678
9.350 196.088
9.600 197.035
9.950 193.022
10.283 196.624
10.633 194.546
10.967 200.096
11.317 194.076
11.567 201.890
11.917 191.225
12.167 193.983
12.517 197.801
12.767 196.740
13.117 196.190
13.450 192.492
13.800 197.236
14.050 194.774
14.400 195.531
14.733 196.599
15.083 195.488
15.333 198.915
15.683 193.754
16.017 191.169
16.367 195.097
16.617 194.187
16.967 193.533
17.300 197.953
17.650 197.586
17.900 195.005
18.250 194.983
18.600 191.915
18.933 194.155
19.283 195.781
19.617 190.591
19.967 193.593
20.300 194.213
20.650 189.268
20.983 192.135
21.333 192.499
21.583 196.420
21.933 195.396
22.283 195.311
22.617 191.100
22.967 195.864
23.300 197.560
23.650 194.707
24.000 196.374
24.333 194.194
24.683 195.198
25.017 192.220
25.367 200.039
25.700 196.988
26.050 197.394
26.383 191.413
26.733 190.842
27.083 192.347
27.417 193.163
27.767 196.332
28.100 192.001
28.450 197.291
28.783 195.116
29.133 198.533
29.483 194.141
29.817 190.933
30.167 202.019
30.500 198.861
30.850 195.050
31.200 199.739
31.533 194.584
31.883 198.290
32.217 198.991
32.567 197.360
32.917 197.699
33.250 196.585
33.600 193.256
33.950 195.149
34.283 196.373
34.633 189.561
34.983 196.045
35.417 196.517
35.750 193.935
36.100 191.352
36.450 195.672
36.867 198.145
37.217 192.654
37.550 194.121
37.900 196.596
38.250 194.127
38.583 197.020
38.933 198.944
39.283 195.725
39.717 195.573
40.150 195.276
40.483 196.941
40.917 188.762
41.350 193.913
41.683 194.916
42.117 192.792
42.550 198.520
42.967 193.620
43.400 198.697
43.833 192.581
44.267 191.502
44.700 192.151
45.117 194.173
45.550 193.272
45.983 195.166
46.400 195.160
46.833 194.623
47.267 195.221
47.683 190.836
48.117 194.748
48.550 195.992
48.967 194.081
49.317 198.647
49.650 194.265
50.000 194.244
50.350 199.734
50.683 193.733
51.033 193.650
51.367 196.279
51.800 191.946
52.233 194.577
52.567 195.563
52.917 197.093
53.350 199.730
53.783 199.071
54.200 198.278
54.633 199.160
54.983 195.097
55.400 195.526
55.850 215.119
56.350 192.120
56.683 195.450
57.117 194.077
57.550 194.843
57.967 187.878
58.400 193.703
58.833 192.976
59.183 189.088
59.517 191.490
