i value
1.467 439.145
1.800 439.588
2.417 439.824
2.750 441.311
3.100 441.933
3.700 442.937
4.033 443.035
4.383 445.509
4.733 446.023
5.067 447.266
5.417 447.929
5.750 448.635
6.100 447.066
6.433 448.196
6.783 447.884
7.133 446.992
7.467 447.441
7.817 446.855
8.150 446.550
8.500 446.761
8.833 447.155
9.183 447.063
9.517 448.456
9.867 448.137
10.200 446.940
10.550 446.648
10.900 446.837
11.233 446.447
11.583 447.680
11.917 447.915
12.267 448.141
12.600 448.193
12.950 447.866
13.300 446.591
13.633 446.851
13.983 447.798
14.317 447.325
14.667 448.255
15.000 448.011
15.350 448.803
15.700 448.008
16.033 447.318
16.383 447.157
16.717 446.366
17.067 445.754
17.400 446.648
17.750 446.678
18.100 446.376
18.433 446.933
18.783 446.694
19.117 446.021
19.467 445.899
19.817 445.247
20.150 445.014
20.500 445.362
20.833 445.284
21.183 446.362
21.533 446.989
21.867 447.620
22.217 447.496
22.550 446.851
22.900 447.340
23.250 447.401
23.583 447.756
23.933 447.911
24.283 449.149
24.617 448.187
24.967 447.458
25.317 447.358
25.650 447.419
26.000 447.260
26.333 446.302
26.683 445.497
27.033 444.947
27.367 445.214
27.717 444.001
28.067 444.486
28.400 445.615
28.750 445.407
29.083 443.853
29.433 444.277
29.783 444.551
30.117 445.272
30.467 445.152
30.817 446.903
31.150 448.374
31.500 448.024
31.850 446.864
32.183 446.892
32.533 445.889
32.883 445.095
33.233 445.976
33.567 447.456
33.917 448.922
34.267 450.863
34.617 450.390
34.967 451.010
35.317 450.760
35.733 449.423
36.067 447.627
36.417 448.360
36.917 448.149
37.250 447.045
37.600 447.214
37.950 446.474
38.283 445.316
38.633 444.168
38.983 445.308
39.333 445.706
39.767 446.133
40.200 446.904
40.533 446.822
40.967 445.448
41.400 444.861
41.733 445.614
42.167 444.902
42.600 445.492
43.033 445.062
43.467 445.679
43.883 445.859
44.333 446.379
44.750 446.075
45.183 446.721
45.617 446.795
46.033 445.785
46.467 446.368
46.900 447.160
47.333 446.771
47.767 446.002
48.183 447.147
48.617 446.045
49.050 445.305
49.533 446.363
50.083 447.186
50.567 447.990
51.117 449.258
51.683 449.861
52.117 449.654
52.667 449.046
53.267 448.899
53.683 448.415
54.117 447.929
54.550 447.377
55.100 448.742
55.517 448.779
56.233 447.709
56.833 447.068
57.450 446.043
57.883 444.264
58.317 442.098
58.750 441.838
59.283 442.270
