i value
0.000 71.070
0.267 69.713
0.600 64.126
0.950 66.376
1.200 68.739
1.550 31.244
1.800 30.061
2.400 28.917
2.750 30.621
3.100 29.984
4.033 2.326
4.383 2.786
4.633 2.598
4.983 2.334
5.233 2.294
5.583 2.298
5.833 2.562
6.183 2.474
6.517 2.422
6.867 2.400
7.117 2.263
7.467 2.335
7.717 2.164
8.067 3.147
8.317 2.237
8.667 2.341
9.000 2.227
9.350 2.579
9.600 2.205
9.950 2.248
10.283 2.205
10.633 2.245
10.883 2.244
11.233 2.216
11.567 2.417
11.917 2.318
12.167 2.543
12.517 2.353
12.850 2.426
13.200 2.377
13.450 2.354
13.800 2.408
14.050 2.413
14.400 2.363
14.733 2.339
15.083 2.868
15.333 2.340
15.683 2.209
16.017 2.169
16.367 2.261
16.617 2.068
16.967 2.189
17.300 2.334
17.650 2.211
17.900 2.258
18.250 2.274
18.583 2.251
18.933 2.245
19.183 2.230
19.533 2.256
19.783 2.280
20.133 2.279
20.467 2.524
20.817 2.267
21.067 2.278
21.417 2.427
21.667 2.775
22.017 2.471
22.367 2.306
22.700 2.426
23.050 2.235
23.383 2.554
23.733 2.514
23.983 2.651
24.333 2.482
24.583 2.516
24.933 2.201
25.267 2.452
25.617 2.515
25.967 2.449
26.300 2.245
26.650 2.220
26.983 2.424
27.333 2.420
27.667 2.123
28.017 2.103
28.367 2.161
28.700 2.232
29.050 2.110
29.383 2.156
29.733 2.102
30.067 2.843
30.417 2.294
30.767 2.343
31.100 2.817
31.450 2.427
31.783 2.370
32.133 2.654
32.483 2.319
32.817 2.725
33.167 2.254
33.517 3.640
33.850 2.631
34.200 3.360
34.550 2.615
34.883 2.526
35.233 2.635
35.583 2.673
35.917 2.764
36.267 2.558
36.600 2.689
36.950 3.139
37.300 2.488
37.633 2.380
37.983 2.635
38.333 2.528
38.667 2.708
39.017 2.951
39.350 2.830
39.700 3.371
40.133 2.425
40.467 2.286
40.900 2.672
41.333 2.288
41.667 2.424
42.100 2.484
42.533 2.630
42.967 2.488
43.383 2.515
43.817 2.632
44.250 2.680
44.683 3.109
45.100 2.692
45.533 2.802
45.950 2.520
46.383 2.432
46.817 2.802
47.233 2.382
47.667 2.220
48.100 2.631
48.533 2.954
48.950 2.574
49.300 2.483
49.633 2.365
49.983 2.903
50.317 2.778
50.667 2.464
51.000 2.977
51.350 2.583
51.783 2.605
52.200 3.038
52.550 2.435
52.900 2.942
53.317 3.646
53.750 2.777
54.183 2.530
54.600 2.637
54.950 2.666
55.383 2.641
55.817 4.010
56.317 4.110
56.667 4.098
57.100 4.006
57.517 4.343
57.950 4.612
58.383 4.175
58.800 3.955
59.150 3.815
59.500 3.521
